item,feedfieldname,title,description,datatypecode,filecode,tablecode,heirarchycode,units,polarity,includedinscores,pillaritem,catitem,reglicflag,valuescoreexists,asrepexists,sourceexists
82,Sdg6CleanWaterAndSanitation,SDG 6 Clean Water and Sanitation,Does the company support the UN Sustainable Development Goal 6 (SDG 6) Clean Water and Sanitation? -company is supporting Goal 6 of SDG to Ensure access to water and sanitation for all -data considered only from SDG Goals,1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
83,Sdg7AffordableAndCleanEnergy,SDG 7 Affordable and Clean Energy,"Does the company support the UN Sustainable Development Goal 7 (SDG 7) Affordable and Clean Energy? -company is supporting Goal 7 of SDG to Ensure access to affordable, reliable, sustainable and modern energy for all. -data considered only from SDG Goals.",1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
84,Sdg8DecentWorkAndEconomicGrowth,SDG 8 Decent Work and Economic Growth,"Does the company support the UN Sustainable Development Goal 8 (SDG 8) Decent Work and Economic Growth? -company is supporting Goal 8 of SDG to Promote inclusive and sustainable economic growth, employment and decent work for all -data considered only from SDG Goals",1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
85,Sdg9IndustryInnovationAndInfrastructure,"SDG 9 Industry, Innovation and Infrastructure","Does the company support the UN Sustainable Development Goal 9 (SDG 9) Industry, Innovation and Infrastructure? -company is supporting Goal 9 of SDG to Build resilient infrastructure, promote sustainable industrialization and foster innovation -data considered only from SDG Goals",1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
86,StakeholderEngagement,Stakeholder Engagement,"Does the company explain how it engages with its stakeholders? - information on how the company is engaging with its stakeholders, how it is involving the stakeholders in its decision-making process; what procedures are in place for engagement - focus on having established two-way communication between the company and its various stakeholders",1,4,5,1,Y/N,Positive,TRESG,5,16,,Y,N,Y
87,UnpriSignatory,UNPRI Signatory,Has the company signed the United Nation Principles for Responsible Investment (UNPRI)?,1,4,5,1,Y/N,Positive,TRESG,5,16,1,Y,N,Y
88,AccidentalSpills,Accidental Spills,"Direct and accidental oil and other hydrocarbon spills in thousands of barrels (kbls). - relevant to companies operating in the oil and gas, marine transportation, utilities and chemicals sector",3,2,1,1,Thousand Barrels,Negative,,4,8,,N,Y,Y
89,AnalyticCO2EstimationMethod,CO2 estimation method,CO2 estimate method - carbon estimate model is structured around four models each model returns one value (reported or estimated). in the list the following are various models as below:  - reported  - CO2 model  - energy model  - median model,6,2,1,1,Reported/CO2/Energy/Median,Not applicable,,4,8,,N,Y,Y
90,AnalyticEstimatesCO2EquivalentsEmissionTotal,Estimated CO2 Equivalents Emission Total,The estimated total CO2 and CO2 equivalents emission in tonnes.,3,2,1,1,Tonnes,Negative,,4,8,,N,Y,Y
91,BiodiversityImpactReduction,Biodiversity Impact Reduction,"Does the company report on its impact on biodiversity or on activities to reduce its impact on the native ecosystems and species, as well as the biodiversity of protected and sensitive areas?",1,2,1,1,Y/N,Positive,TRESG,4,8,2,Y,N,Y
92,CarbonOffsetsCredits,Carbon Offsets/Credits,"The equivalent of the CO2 offsets, credits and allowances in tonnes purchased and/or produced by the company during the fiscal year. - companies evolving in certain sectors have a limit on the amount of emissions if they exceed this limit, they purchase credit to balance it and if they are short from this limit, they can sell the remainder of the allowance - only carbon credit purchased and produced are considered - investment in wind farms, planting trees from which the company claims to offset carbon emissions are also in scope",3,2,1,1,Tonnes,Positive,,4,8,,N,Y,Y
93,CementCO2EquivalentsEmission,Cement CO2 Equivalents Emission,"Total CO2 and CO2 equivalents emission in tonnes per tonne of cement produced. - applicable to cement producing companies only - following gases are relevant : carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCS), perfluorinated compound (PFCS), sulfur hexafluoride (SF6), nitrogen trifluoride (NF3) - we follow green house gas (GHG) protocol for all our emission classifications by type",3,2,1,1,Tonnes,Negative,TRESG,4,8,,Y,Y,Y
94,ClimateChangeCommercialRisksOpportunities,Climate Change Commercial Risks Opportunities,Is the company aware that climate change can represent commercial risks and/or opportunities? - development of new products/services to overcome the threats of climate change to the existing business model of the company - some companies take climate change as a business opportunity and develop new products/services,1,2,1,1,Y/N,Positive,TRESG,4,8,,Y,N,Y
95,CO2EquivalentsEmissionDirectScope1,"CO2 Equivalent Emissions Direct, Scope 1","Direct of CO2 and CO2 equivalents emission in tonnes. - direct emissions from sources that are owned or controlled by the company (scope 1 emissions) - following gases are relevant : carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCS), perfluorinated compound (PFCS), sulfur hexafluoride (SF6), nitrogen trifluoride (NF3) - we follow green house gas (GHG) protocol for all our emission classifications by type",3,2,1,1,Tonnes,Negative,,4,8,2,N,Y,Y
